source:/home/wmlinux/dir1/get_homologues-x86_64-20210828/MTB_vs_FH_15112022_homologues/sample_intersection	Agrobacterium_tumefaciens_C58_full.gb	_Azospirillum_brasilense_Sp7_full.gbk	_Blastochloris_viridis_DSM133.gb	_Magnetospirillu_15-1.gb	_Magnetospirillum.gbk	_Magnetospirillum_gryphiswaldense_NZ_CP027526.gb	_Mesorhizobium_japonicum_MAFF303099_full.gbk	_Rhodobacter_capsulatus_SB1003_full.gbk	_Rhodobacter_sphaeroides_2.4.1_full.gbk	_Rhodoblastus_acidophilus_DSM137.gb	_Rhodomicrobium_vannielii_ATCC.gbk	_Rhodoplanes_elegans_DSM11907.gb	_Rhodopseudomonas_pseudopalustris_DSM123.gb	_Rhodospirillum_rubrum_ATCC11170_full.gbk	_Rhodovastum_atsumiense.gbk	_Rhodovastum_atsumiense_G2-11.gbk	_Rubrivivax_gelatinosus_DSM1709.gb	
7_fxsA.faa	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0	0	
11_transcriptional_regu...faa	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	
13_NAD-P-H-flavin_oxido...faa	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	
28_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
35_pckA.faa	1	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	
46_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
47_glcB.faa	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	
48_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	
53_hypothetical_protein.faa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
54_hypothetical_protein.faa	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55_recQ.faa	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	
56_frcR.faa	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	
57_frcB.faa	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	
58_frcC.faa	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	
59_frcA.faa	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	
60_putative_kinase.faa	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	
61_nrdH.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
62_nrdI.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
63_nrdE.faa	1	1	0	1	1	1	0	1	1	0	1	0	1	2	2	2	2	
64_nrdF.faa	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	
65_conserved_hypothetic...faa	2	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	
68_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	
69_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
73_permease.faa	2	2	0	0	0	1	1	2	2	0	0	2	1	0	1	1	1	
74_rsmC.faa	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	
83_MFS_permease.faa	2	1	0	1	1	0	1	0	2	0	1	2	1	1	0	0	1	
86_conserved_hypothetic...faa	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	
93_cycM.faa	1	1	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	
94_exopolysaccharide_pr...faa	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
96_conserved_hypothetic...faa	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	
97_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
99_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
102_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104_conserved_hypothetic...faa	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
108_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
109_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
110_conserved_hypothetic...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
111_conserved_hypothetic...faa	2	1	0	1	0	0	0	0	0	0	0	6	1	0	0	0	1	
112_conserved_hypothetic...faa	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	1	
113_conserved_hypothetic...faa	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	1	1	
116_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
118_membrane_lipoprotein.faa	1	2	0	0	0	0	1	1	1	0	0	0	0	1	0	0	2	
119_ABC_transporter-_nuc...faa	1	2	0	0	0	0	2	1	2	0	0	0	0	1	1	1	1	
120_ABC_transporter-_mem...faa	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	
121_ABC_transporter-_mem...faa	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	
122_cdd.faa	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	1	
123_deoD.faa	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	
124_deoC.faa	2	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	
125_deoA.faa	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	
127_upp.faa	1	2	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	
128_add.faa	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	
129_drm.faa	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	
130_surf.faa	2	2	0	0	0	0	2	0	1	0	0	1	2	0	1	1	1	
131_cyoD.faa	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	
132_cyoC.faa	1	1	0	0	0	0	2	0	0	2	0	0	1	0	1	1	0	
133_cyoB.faa	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	
134_cyoA.faa	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	
135_MFS_permease.faa	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	
136_hypothetical_protein.faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
